listing_id,artist,title,label,styles,format,release_id,status,price,listed,media_condition,image_url,video_url
51870418,Various,New Series,New Series,n/a,"12"",3372117,Violation,6.03,2012-01-28 14:12:53,[JiggyJamz_12] VG+++ vinyl is excellent with clean center labels... generic white sleeve in opened shrink wrap...,Very Good Plus (VG+),Generic,Y,,0,0,0.0,
313797590,Nas Featuring The Game (2) & Marsha Ambrosius,Hustlers,Def Jam Recordings (2),NAS HUSTLA,12""""""",2296814,Violation,2.5,2016-05-06 13:09:07,Near Mint (NM or M-),https://img.discogs.com/BWPJmyyBxtxqfCnRzBBbql4yhMw=/fit-in/600x596/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-2296814-1382802881-7718.jpeg.jpg,n/a
687968752,DJ Q-Bert,Extraterrestria Puzzle Piece #9,Thud Rumble,Turntablism,"12"",9907434,Sold,34.97,2018-05-03 15:22:17,[DJTools]  WORD!!  New Item!  Stored in plastic sleeve!  #9 of 9 - Limited to 300 - Dont Sleep!,Mint (M),Not Graded,N,,0,1,0.0,
687968753,DJ Q-Bert,Extraterrestria Puzzle Piece #9,Thud Rumble,none,12""""",9907434,Sold,34.97,2018-05-03 15:22:17,Mint (M),https://img.discogs.com/4w7g-M4x_vTktYDE-AFhElYyELk=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-9907434-1498083360-8789.jpeg.jpg,n/a
